N11125206-P55242-G1100485007-P8629-A1033-L999:&Text Editor
N11125206-P8629-A1033-L999:Service Text
N11125206-Q1100525000-P26171-A1033-L999:Entrance Procedure
N11125206-Q1100528600-P26171-A1033-L999:Invoice Agreements
N11125206-Q1100528601-P26171-A1033-L999:Contract Agreements
N11125206-Q1100528602-P26171-A1033-L999:Report Procedure
N11125206-Q1100528603-P26171-A1033-L999:Problem Text
N11125206-Q1100528604-P26171-A1033-L999:Internal Text
N11125206-Q1100528605-P26171-A1033-L999:Resolve Text
N11125206-Q1100528606-P26171-A1033-L999:Cause Text
N11125206-Q1100528607-P26171-A1033-L999:Invoice Text
N11125206-U1100485000-Q1100485001-P26171-A1033-L999:Not enough space to insert text lines, not all text lines are added.
